FlightPlanID,DronePortID,ETD,ETD_Seconds,OriginLat,OriginLon,OriginNodeID,DestinationLat,DestinationLon,DestinationNodeID,DroneModel,EstimatedFlightTime,Ceiling
FP000001,DP1,00:00:34,34,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78903695328138,-73.94644458811004,L0_X12_Y6,Heavy Quadcopter,8.672946754779202,400.0
FP000002,DP1,00:00:47,47,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77405040979117,-73.9690467816812,L0_X6_Y4,Heavy Quadcopter,4.33659489450291,400.0
FP000003,DP1,00:01:02,62,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77950431799445,-73.98133953022825,L0_X6_Y1,Heavy Quadcopter,4.1710687505137205,400.0
FP000004,DP2,00:01:51,111,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.778972516321105,-73.97074314602013,L0_X7_Y3,Heavy Quadcopter,5.2214497054075055,400.0
FP000005,DP2,00:02:22,142,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.77329618442839,-73.98614110886417,L0_X4_Y1,Heavy Quadcopter,7.665373017575751,400.0
FP000006,DP2,00:03:10,190,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.76730970436203,-73.96325330943415,L0_X5_Y6,Heavy Quadcopter,6.171428571427307,400.0
FP000007,DP2,00:04:11,251,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.79577730984451,-73.95223556801028,L0_X13_Y4,Heavy Quadcopter,1.5323870101577708,400.0
FP000008,DP2,00:04:42,282,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.76966039050614,-73.97794545612722,L0_X4_Y3,Heavy Quadcopter,7.158404813362044,400.0
FP000009,DP2,00:05:10,310,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.78154397791421,-73.95774638539304,L0_X9_Y5,Heavy Quadcopter,3.4962256196244894,400.0
FP000010,DP1,00:05:47,347,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.75671144334132,-73.97695059757008,L0_X1_Y5,Heavy Quadcopter,2.168267078335009,400.0
FP000011,DP2,00:05:55,355,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.778972516321105,-73.97074314602013,L0_X7_Y3,Heavy Quadcopter,5.2214497054075055,400.0
FP000012,DP1,00:06:02,362,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.783362237108015,-73.96184332265736,L0_X9_Y4,Heavy Quadcopter,6.321723253405997,400.0
FP000013,DP2,00:06:16,376,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.78775161395421,-73.95294308880786,L0_X11_Y5,Heavy Quadcopter,2.1681253167435988,400.0
FP000014,DP1,00:06:34,394,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.782076458739475,-73.96834192725004,L0_X8_Y3,Heavy Quadcopter,5.528309983142204,400.0
FP000015,DP1,00:07:20,440,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77768649354284,-73.97724172324111,L0_X6_Y2,Heavy Quadcopter,4.11428571428537,400.0
FP000016,DP1,00:07:20,440,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78881614509582,-73.97413547921235,L0_X9_Y1,Heavy Quadcopter,6.209438777285663,400.0
FP000017,DP2,00:07:28,448,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.771478359944865,-73.98204317042439,L0_X4_Y2,Heavy Quadcopter,7.3844649909105495,400.0
FP000018,DP1,00:08:17,497,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77329618442839,-73.98614110886417,L0_X4_Y1,Heavy Quadcopter,2.8273034962846886,400.0
FP000019,DP1,00:08:32,512,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.776621681093886,-73.95605091806061,L0_X8_Y6,Heavy Quadcopter,6.132527625726183,400.0
FP000020,DP2,00:08:40,520,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.7919199878898,-73.97173367988933,L0_X10_Y1,Heavy Quadcopter,4.388862930100404,400.0
FP000021,DP2,00:08:58,538,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.78389442810161,-73.97243937856285,L0_X8_Y2,Heavy Quadcopter,4.943548043922904,400.0
FP000022,DP2,00:09:15,555,40.79524429056968,-73.94164007604267,L0_X14_Y6,40.76602401683185,-73.9697506999255,L0_X4_Y5,Heavy Quadcopter,6.891139376358177,400.0
FP000023,DP1,00:09:16,556,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77019204302611,-73.98854156169558,L0_X3_Y1,Heavy Quadcopter,2.168449347446177,400.0
FP000024,DP1,00:09:16,556,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78389442810161,-73.97243937856285,L0_X8_Y2,Heavy Quadcopter,5.485714285715785,400.0
FP000025,DP1,00:09:20,560,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.75852970266277,-73.98104806062648,L0_X1_Y4,Heavy Quadcopter,1.53318918906723,400.0
FP000026,DP1,00:09:41,581,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78881614509582,-73.97413547921235,L0_X9_Y1,Heavy Quadcopter,6.209438777285663,400.0
FP000027,DP1,00:10:44,644,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.794491730543776,-73.95873480737892,L0_X12_Y3,Heavy Quadcopter,8.256997683932571,400.0
