FlightPlanID,DronePortID,ETD,ETD_Seconds,OriginLat,OriginLon,OriginNodeID,DestinationLat,DestinationLon,DestinationNodeID,DroneModel,EstimatedFlightTime,Ceiling
FP000001,DP1,00:38:53,2333,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78828419423568,-73.96353881635659,L0_X10_Y3,Heavy Quadcopter,6.891247687249204,400.0
FP000002,DP1,00:41:48,2508,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.798127524057385,-73.96692940751481,L0_X12_Y1,Heavy Quadcopter,8.25712533479149,400.0
FP000003,DP1,00:41:13,2473,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.797062694483365,-73.94573645991079,L0_X14_Y5,Heavy Quadcopter,9.817464744835032,400.0
FP000004,DP1,00:08:19,499,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78518035138104,-73.96594048404285,L0_X9_Y3,Heavy Quadcopter,6.209311467252195,400.0
FP000005,DP1,00:15:27,927,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.77950431799445,-73.98133953022825,L0_X6_Y1,Heavy Quadcopter,4.1710687505137205,400.0
FP000006,DP1,00:29:28,1768,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.762697,-73.99984,L0_X0_Y0,Heavy Quadcopter,1.3714285714296819,400.0
FP000007,DP1,00:01:48,108,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.793205956564435,-73.96523417800812,L0_X11_Y2,Heavy Quadcopter,7.542857142857964,400.0
FP000008,DP1,00:35:31,2131,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78646607999299,-73.95944172078832,L0_X10_Y4,Heavy Quadcopter,6.992689831566207,400.0
FP000009,DP1,00:19:34,1174,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.75489303911629,-73.97285335863229,L0_X1_Y6,Heavy Quadcopter,2.827086048503582,400.0
FP000010,DP1,00:09:38,578,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.764205612630754,-73.9656536580034,L0_X4_Y6,Heavy Quadcopter,3.8784423478046164,400.0
FP000011,DP1,00:45:26,2726,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.76912810854876,-73.96735028564328,L0_X5_Y5,Heavy Quadcopter,3.9979551270177858,400.0
FP000012,DP1,00:54:16,3256,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.768374218531434,-73.98444355756025,L0_X3_Y2,Heavy Quadcopter,2.0571428571450805,400.0
FP000013,DP1,00:49:37,2977,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.78025834443931,-73.9642447000679,L0_X8_Y4,Heavy Quadcopter,5.654296319004053,400.0
FP000014,DP1,00:30:17,1817,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.792140646834405,-73.94404244436902,L0_X13_Y6,Heavy Quadcopter,9.325988063079517,400.0
FP000015,DP1,00:27:56,1676,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.75542541208789,-73.98344764387868,L0_X0_Y4,Heavy Quadcopter,1.3714285714263812,400.0
FP000016,DP1,00:51:56,3116,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.75981568421803,-73.97455085584699,L0_X2_Y5,Heavy Quadcopter,2.472111579891797,400.0
FP000017,DP1,00:48:59,2939,40.75906149595441,-73.99164337364796,L0_X0_Y2,40.771478359944865,-73.98204317042439,L0_X4_Y2,Heavy Quadcopter,2.74285714285684,400.0
