Simulation_Time,Event_Type,Drone_1,Drone_2,Distance,Collision_Threshold,Drone_1_Position,Drone_2_Position,Drone_1_Speed,Drone_2_Speed
390.00,COLLISION_START,FP000003,FP000012,4.66,10.00,"(600.35,60.96,-23226.05)","(597.99,60.96,-23222.03)",20.00,20.00
391.00,COLLISION_END,FP000003,FP000012,35.34,10.00,"(590.22,60.96,-23208.81)","(608.12,60.96,-23239.28)",20.00,20.00
406.00,COLLISION_START,FP000003,FP000014,4.65,10.00,"(438.28,60.96,-22950.12)","(435.92,60.96,-22946.11)",20.00,20.00
407.00,COLLISION_END,FP000003,FP000014,35.35,10.00,"(428.15,60.96,-22932.87)","(446.05,60.96,-22963.35)",20.00,20.00
435.00,COLLISION_START,FP000004,FP000008,4.13,10.00,"(2640.34,60.96,-25905.34)","(2642.43,60.96,-25908.90)",20.00,20.00
436.00,COLLISION_END,FP000004,FP000008,35.87,10.00,"(2650.47,60.96,-25922.58)","(2632.29,60.96,-25891.66)",20.00,20.00
699.00,COLLISION_START,FP000001,FP000027,3.10,10.00,"(873.07,60.96,-23690.30)","(871.50,60.96,-23687.63)",20.00,20.00
700.00,COLLISION_END,FP000001,FP000027,36.90,10.00,"(862.94,60.96,-23673.06)","(881.63,60.96,-23704.88)",20.00,20.00
743.00,COLLISION_START,FP000006,FP000028,0.00,10.00,"(4584.17,60.96,-26836.01)","(4584.17,60.96,-26836.01)",0.00,0.00
744.00,COLLISION_END,FP000006,FP000028,40.00,10.00,"(4584.17,40.96,-26836.01)","(4584.17,80.96,-26836.01)",20.00,20.00
786.00,COLLISION_START,FP000014,FP000029,2.32,10.00,"(771.37,60.96,-23517.19)","(770.20,60.96,-23515.19)",20.00,20.00
787.00,COLLISION_END,FP000014,FP000029,37.68,10.00,"(761.24,60.96,-23499.95)","(780.33,60.96,-23532.44)",20.00,20.00
810.00,COLLISION_START,FP000012,FP000029,3.90,10.00,"(1015.31,60.96,-23932.41)","(1013.33,60.96,-23929.05)",20.00,20.00
811.00,COLLISION_END,FP000012,FP000029,36.10,10.00,"(1005.18,60.96,-23915.17)","(1023.46,60.96,-23946.29)",20.00,20.00
1275.00,COLLISION_START,FP000038,FP000042,3.03,10.00,"(3890.38,60.96,-27239.44)","(3893.41,60.96,-27239.56)",20.00,20.00
1276.00,COLLISION_END,FP000038,FP000042,37.48,10.00,"(3907.69,60.96,-27229.42)","(3876.14,60.96,-27249.64)",20.00,20.00
1375.00,COLLISION_START,FP000030,FP000047,0.00,10.00,"(354.89,30.48,-22808.14)","(354.89,30.48,-22808.14)",0.00,0.00
1376.00,COLLISION_END,FP000030,FP000047,40.00,10.00,"(354.89,10.48,-22808.14)","(354.89,50.48,-22808.14)",20.00,20.00
1443.00,COLLISION_START,FP000034,FP000044,6.28,10.00,"(1472.46,91.44,-24710.43)","(1469.29,91.44,-24705.01)",20.00,20.00
1444.00,COLLISION_END,FP000034,FP000044,33.72,10.00,"(1462.33,91.44,-24693.19)","(1479.42,91.44,-24722.26)",20.00,20.00
1557.00,COLLISION_START,FP000032,FP000047,4.91,10.00,"(560.25,60.96,-23157.78)","(559.03,60.96,-23153.02)",20.00,20.00
1578.00,COLLISION_END,FP000032,FP000047,20.00,10.00,"(354.89,60.96,-22808.14)","(355.02,40.97,-22808.37)",0.00,20.00
1891.00,COLLISION_START,FP000050,FP000059,1.27,10.00,"(3636.90,60.96,-26808.44)","(3638.15,60.96,-26808.66)",20.00,20.00
1892.00,COLLISION_END,FP000050,FP000059,39.19,10.00,"(3647.03,60.96,-26825.68)","(3627.95,60.96,-26791.46)",20.00,20.00
2237.00,COLLISION_START,FP000061,FP000064,5.71,10.00,"(2252.43,60.96,-26037.38)","(2255.32,60.96,-26042.30)",20.00,20.00
2238.00,COLLISION_END,FP000061,FP000064,34.29,10.00,"(2262.57,60.96,-26054.62)","(2245.18,60.96,-26025.06)",20.00,20.00
2454.00,COLLISION_START,FP000065,FP000072,1.55,10.00,"(2589.71,60.96,-26608.44)","(2588.16,60.96,-26608.39)",20.00,20.00
2455.00,COLLISION_END,FP000065,FP000072,39.19,10.00,"(2579.52,60.96,-26591.23)","(2598.30,60.96,-26625.63)",20.00,20.00
2595.00,COLLISION_START,FP000070,FP000072,3.29,10.00,"(3064.69,60.96,-27418.67)","(3066.35,60.96,-27421.51)",20.00,20.00
2596.00,COLLISION_END,FP000070,FP000072,36.71,10.00,"(3074.83,60.96,-27435.91)","(3056.21,60.96,-27404.27)",20.00,20.00
2614.00,COLLISION_START,FP000064,FP000069,0.82,10.00,"(2385.01,60.96,-26262.88)","(2385.42,60.96,-26263.59)",20.00,0.00
2615.00,COLLISION_END,FP000064,FP000069,39.18,10.00,"(2395.14,60.96,-26280.12)","(2375.29,60.96,-26246.35)",20.00,20.00
6260.00,COLLISION_START,FP000166,FP000172,0.81,10.00,"(4135.89,91.44,-26865.34)","(4136.30,91.44,-26866.03)",20.00,20.00
6261.00,COLLISION_END,FP000166,FP000172,39.19,10.00,"(4146.03,91.44,-26882.58)","(4126.17,91.44,-26848.79)",20.00,20.00
6851.00,COLLISION_START,FP000175,FP000188,3.19,10.00,"(3311.90,91.44,-25464.00)","(3313.52,91.44,-25466.75)",20.00,20.00
6852.00,COLLISION_END,FP000175,FP000188,36.81,10.00,"(3322.04,91.44,-25481.24)","(3303.39,91.44,-25449.50)",20.00,20.00
6871.00,COLLISION_START,FP000175,FP000190,4.06,10.00,"(3514.63,91.44,-25808.82)","(3517.17,91.44,-25811.99)",20.00,20.00
6872.00,COLLISION_END,FP000175,FP000190,35.99,10.00,"(3524.77,91.44,-25826.06)","(3506.97,91.44,-25794.78)",20.00,20.00
6926.00,COLLISION_START,FP000188,FP000190,0.00,10.00,"(3018.79,0.00,-24965.36)","(3018.79,0.00,-24965.36)",0.00,0.00
6947.00,COLLISION_END,FP000188,FP000190,20.00,10.00,"(3018.79,20.00,-24965.36)","(3018.79,0.00,-24965.36)",20.00,0.00
6956.00,COLLISION_START,FP000175,FP000196,1.30,10.00,"(4462.04,91.44,-26907.02)","(4463.29,91.44,-26906.64)",20.00,20.00
6957.00,COLLISION_END,FP000175,FP000196,38.73,10.00,"(4479.33,91.44,-26896.97)","(4446.02,91.44,-26916.73)",20.00,20.00
7208.00,COLLISION_START,FP000187,FP000199,3.88,10.00,"(1005.16,60.96,-23915.15)","(1003.20,60.96,-23911.81)",20.00,20.00
7209.00,COLLISION_END,FP000187,FP000199,36.12,10.00,"(995.03,60.96,-23897.90)","(1013.33,60.96,-23929.05)",20.00,20.00
