Simulation_Time,Event_Type,Drone_1,Drone_2,Distance,Collision_Threshold,Drone_1_Position,Drone_2_Position,Drone_1_Speed,Drone_2_Speed
116.00,COLLISION_START,FP000003,FP000017,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
139.00,COLLISION_END,FP000003,FP000017,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
145.00,COLLISION_START,FP000003,FP000017,18.86,30.00,"(10262.88,0.00,8095.92)","(10251.79,15.24,8096.79)",0.00,44.00
146.00,COLLISION_END,FP000003,FP000017,36.29,30.00,"(10262.88,0.00,8095.92)","(10295.79,15.24,8096.79)",0.00,44.00
365.00,COLLISION_START,FP000006,FP000008,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
392.00,COLLISION_END,FP000006,FP000008,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
425.00,COLLISION_START,FP000006,FP000010,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
549.00,COLLISION_START,FP000006,FP000024,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
549.00,COLLISION_START,FP000010,FP000024,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
572.00,COLLISION_END,FP000006,FP000010,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
572.00,COLLISION_END,FP000006,FP000024,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
623.00,COLLISION_END,FP000010,FP000024,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
685.00,COLLISION_START,FP000021,FP000024,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
776.00,COLLISION_END,FP000021,FP000024,43.20,30.00,"(10262.88,0.00,8095.92)","(10219.92,4.58,8096.18)",0.00,14.40
788.00,COLLISION_START,FP000002,FP000021,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
832.00,COLLISION_END,FP000002,FP000021,44.00,30.00,"(10262.88,0.00,8095.92)","(10219.12,4.66,8096.19)",0.00,44.00
835.00,COLLISION_START,FP000002,FP000018,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
870.00,COLLISION_START,FP000002,FP000011,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
870.00,COLLISION_START,FP000011,FP000018,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
913.00,COLLISION_START,FP000011,FP000022,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
913.00,COLLISION_START,FP000002,FP000022,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
913.00,COLLISION_START,FP000018,FP000022,0.00,30.00,"(10262.88,0.00,8095.92)","(10262.88,0.00,8095.92)",0.00,0.00
948.00,COLLISION_END,FP000002,FP000018,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
948.00,COLLISION_END,FP000002,FP000022,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
948.00,COLLISION_END,FP000002,FP000011,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
1173.00,COLLISION_END,FP000011,FP000022,44.00,30.00,"(10219.12,4.66,8096.19)","(10262.88,0.00,8095.92)",44.00,0.00
1174.00,COLLISION_END,FP000018,FP000022,40.00,30.00,"(10223.10,4.24,8096.16)","(10262.88,0.00,8095.92)",20.00,0.00
