Time,Mean_Distance
20.00,0.00
30.00,0.00
40.00,0.00
50.00,0.00
60.00,0.00
70.00,0.00
80.00,132.00
90.00,242.00
100.00,646.38
110.00,703.15
120.00,996.12
130.00,3092.15
140.00,3235.90
150.00,2852.48
160.00,2977.86
170.00,3104.16
180.00,4055.77
190.00,4150.99
200.00,4240.74
210.00,4297.84
220.00,4383.67
230.00,4464.42
240.00,4401.50
250.00,4474.57
260.00,4553.77
270.00,4643.03
280.00,4598.22
290.00,4710.00
300.00,4634.11
310.00,4646.86
320.00,4742.72
330.00,4847.47
340.00,4954.88
350.00,4916.33
360.00,4875.88
370.00,4992.46
380.00,5110.97
390.00,5233.29
400.00,5362.22
410.00,5485.62
420.00,5610.34
430.00,5745.66
440.00,5872.72
450.00,6000.74
460.00,6132.08
470.00,6269.02
480.00,6399.49
490.00,6530.61
500.00,6672.16
510.00,6804.46
520.00,6944.40
530.00,7083.30
540.00,7238.70
550.00,7388.78
560.00,7541.84
570.00,7705.20
580.00,7859.91
590.00,8017.44
600.00,8172.42
610.00,8333.03
620.00,8494.57
630.00,8661.01
640.00,8837.83
650.00,8999.21
660.00,8812.05
670.00,8980.50
680.00,9154.49
690.00,9323.18
700.00,9495.43
710.00,9678.01
720.00,9851.13
730.00,9645.61
