Time,Mean_Distance
120.00,0.00
130.00,0.00
140.00,88.00
150.00,209.48
160.00,606.73
170.00,950.78
180.00,1324.47
190.00,1698.65
200.00,2073.63
210.00,2488.70
220.00,2824.34
230.00,3237.40
240.00,3627.53
250.00,4009.11
260.00,4375.11
270.00,4796.17
280.00,5190.88
290.00,5587.72
300.00,5986.26
310.00,6416.02
320.00,6938.08
330.00,7366.71
340.00,5553.13
350.00,5973.98
360.00,6414.87
370.00,5299.52
380.00,5661.90
390.00,6030.47
400.00,6396.92
410.00,6751.83
420.00,7088.67
430.00,6089.63
440.00,6088.26
450.00,6115.47
460.00,6133.42
470.00,6146.08
480.00,6190.16
490.00,6228.10
500.00,6270.05
510.00,6318.56
520.00,6397.60
530.00,6457.75
540.00,6549.61
550.00,5860.19
560.00,5971.67
570.00,6084.03
580.00,6226.18
590.00,6357.34
600.00,6499.31
610.00,6666.52
620.00,6828.19
630.00,7056.40
640.00,7363.67
650.00,7687.98
660.00,7926.88
670.00,8033.00
680.00,8169.41
690.00,8308.11
700.00,8458.11
710.00,8613.82
720.00,8781.38
730.00,8932.44
740.00,9080.41
750.00,9257.14
760.00,9346.64
770.00,9312.66
780.00,9266.64
790.00,8282.25
800.00,8261.64
810.00,8249.32
820.00,8263.04
830.00,8270.85
840.00,7494.05
850.00,7512.13
860.00,7486.33
870.00,6722.99
880.00,6597.44
890.00,6478.20
900.00,6239.00
910.00,5962.85
920.00,5241.11
930.00,5009.44
940.00,5185.32
950.00,4946.44
960.00,4741.89
970.00,4974.58
980.00,4796.82
990.00,4647.30
1000.00,4509.51
1010.00,4379.71
1020.00,4294.56
1030.00,4232.92
1040.00,4159.38
1050.00,4107.59
1060.00,4081.88
1070.00,4064.26
1080.00,4548.13
1090.00,5235.63
1100.00,5398.62
1110.00,5579.14
1120.00,5756.65
1130.00,5942.60
1140.00,6145.20
1150.00,6349.86
1160.00,6556.26
1170.00,6613.82
1180.00,6379.53
1190.00,7162.21
1200.00,6971.36
1210.00,5965.59
1220.00,5889.05
1230.00,5798.41
1240.00,5786.52
1250.00,5731.66
1260.00,5698.88
1270.00,5718.45
1280.00,5780.65
1290.00,5913.13
1300.00,5552.64
1310.00,5700.30
1320.00,5829.59
1330.00,5994.06
1340.00,5691.42
1350.00,5421.60
1360.00,6111.85
1370.00,6343.80
1380.00,6430.67
1390.00,6508.88
1400.00,6456.72
1410.00,6376.10
1420.00,6287.65
1430.00,6076.04
1440.00,5869.92
1450.00,5680.11
1460.00,5511.92
1470.00,5403.15
1480.00,5349.51
1490.00,5358.75
1500.00,5359.92
1510.00,5831.29
1520.00,5992.37
1530.00,5668.44
1540.00,5815.03
1550.00,5960.35
1560.00,6797.25
1570.00,7051.43
1580.00,7358.49
1590.00,8666.98
1600.00,8931.25
1610.00,10524.88
1620.00,10483.98
1630.00,10399.61
1640.00,12110.18
1650.00,12031.97
1660.00,11965.64
1670.00,11926.15
1680.00,11828.28
1690.00,11756.25
1700.00,11718.10
1710.00,11679.95
1720.00,11648.68
1730.00,11637.86
1740.00,11584.69
1750.00,11578.41
1760.00,11553.80
1770.00,11510.53
1780.00,11518.20
1790.00,11206.36
1800.00,10881.62
1810.00,10565.16
1820.00,8737.88
1830.00,8498.44
1840.00,8242.24
1850.00,9492.91
1860.00,9273.90
1870.00,9093.22
1880.00,10129.96
1890.00,10054.58
1900.00,9967.98
1910.00,9788.93
1920.00,9265.84
1930.00,8717.57
1940.00,8120.25
1950.00,7530.48
1960.00,7019.93
1970.00,6557.04
1980.00,6054.44
1990.00,5917.67
2000.00,5884.13
2010.00,5888.20
2020.00,5929.15
2030.00,6049.51
2040.00,6226.39
2050.00,6427.10
2060.00,6646.51
2070.00,6819.67
2080.00,7080.98
2090.00,7338.19
2100.00,7611.65
2110.00,8259.28
2120.00,8735.38
2130.00,8165.65
2140.00,8328.46
2150.00,8328.21
2160.00,7775.76
2170.00,7176.13
2180.00,6720.29
2190.00,6342.78
2200.00,5173.79
2210.00,4984.97
2220.00,4878.23
2230.00,5861.01
2240.00,5849.42
2250.00,5830.54
2260.00,5824.81
2270.00,5801.71
2280.00,5787.56
2290.00,5784.67
2300.00,6164.40
2310.00,6696.01
2320.00,7026.55
2330.00,7007.39
2340.00,7012.26
2350.00,7001.77
2360.00,6995.91
2370.00,6991.97
2380.00,6941.21
2390.00,6920.67
2400.00,6887.61
2410.00,6839.09
2420.00,6804.19
2430.00,9702.08
2440.00,8831.91
2450.00,8006.95
2460.00,7151.84
2810.00,2567.97
2820.00,2986.77
2830.00,3263.64
2840.00,3579.68
2850.00,3906.06
2860.00,4302.24
2870.00,4576.53
2880.00,4865.89
2890.00,5276.55
2900.00,5437.05
2910.00,5496.65
2920.00,5786.34
2930.00,6261.02
2940.00,6769.25
2950.00,7057.68
2960.00,7518.79
2970.00,7839.77
2980.00,8117.26
2990.00,8394.76
3000.00,8484.88
3010.00,8710.97
3020.00,9060.28
3030.00,9441.37
3040.00,9824.39
3050.00,10003.10
3060.00,10181.82
3070.00,10184.08
3080.00,9781.66
3090.00,9388.91
3100.00,9015.23
3110.00,8632.72
3120.00,8262.90
3130.00,7919.43
3140.00,7592.84
3150.00,7261.61
3160.00,6977.21
3210.00,4885.76
3220.00,4463.05
3230.00,3968.43
3240.00,3712.00
3250.00,3485.84
3260.00,3358.23
3270.00,3285.52
3280.00,3294.31
3290.00,3429.65
3300.00,3537.80
3310.00,3697.88
3320.00,3885.05
3410.00,7274.50
3420.00,7634.07
3430.00,8018.54
3440.00,8316.01
3450.00,6022.57
3460.00,6407.05
3470.00,6912.63
3480.00,7418.38
3490.00,7843.48
3500.00,8283.47
3510.00,8821.42
3520.00,9312.89
3530.00,9816.49
3540.00,10417.37
3550.00,10954.10
3560.00,11461.18
3570.00,12051.27
3580.00,12202.20
3590.00,12172.61
3600.00,12241.16
3610.00,12389.54
3620.00,12578.03
3630.00,12753.99
3640.00,12963.68
3650.00,13240.70
3660.00,13481.72
3670.00,11379.45
3680.00,11572.24
3690.00,11782.49
3700.00,11994.55
3710.00,12270.81
3720.00,12556.33
3730.00,12669.72
3740.00,12602.62
3750.00,12402.00
3760.00,11922.43
3770.00,11477.80
3780.00,11059.01
3790.00,10658.12
3800.00,10189.61
3810.00,9790.15
3820.00,9414.59
3830.00,9050.25
3840.00,8723.82
3850.00,8415.87
3860.00,8147.96
3870.00,7906.79
3880.00,7716.81
3890.00,7531.43
3900.00,7366.28
3910.00,7261.92
3920.00,7154.14
3930.00,7070.01
3940.00,7001.72
3950.00,6991.56
3960.00,7023.72
3970.00,7140.95
3980.00,7358.87
3990.00,7561.73
4000.00,7779.70
4010.00,16155.17
4020.00,16924.49
4030.00,17650.79
4040.00,18459.15
4050.00,19202.27
4060.00,19361.55
4070.00,19360.09
4080.00,19330.66
4090.00,19310.05
4100.00,19307.14
4110.00,19286.48
4120.00,19213.35
4130.00,19094.11
4140.00,19110.61
4150.00,19082.33
4160.00,19071.52
4170.00,19070.65
4180.00,19110.91
4190.00,19085.18
4200.00,19097.17
4210.00,19141.21
4220.00,19117.39
4230.00,19094.24
4240.00,19108.90
4250.00,19117.51
4260.00,19099.21
4270.00,19044.81
4280.00,12631.49
4290.00,12178.06
4300.00,11647.71
4310.00,11069.15
4320.00,10491.07
4330.00,7695.39
4340.00,7406.61
4350.00,7239.26
4360.00,7128.13
4370.00,7070.28
4380.00,7028.14
4390.00,8772.26
4400.00,8722.81
4410.00,8679.26
4420.00,8639.71
4430.00,8582.44
4440.00,7131.19
4450.00,7070.35
4460.00,7221.07
4470.00,7314.38
4480.00,7378.45
4490.00,7598.90
4500.00,9147.67
4510.00,9387.91
4520.00,9690.27
4530.00,9910.86
4540.00,10168.97
4550.00,10451.36
4560.00,10725.63
4570.00,11033.41
4580.00,11335.69
4590.00,11608.17
4600.00,11923.91
4610.00,12251.95
4620.00,12619.66
4630.00,13001.20
4640.00,15110.36
4650.00,15169.47
4660.00,15291.87
4670.00,15462.80
4680.00,15603.50
4690.00,15380.67
4700.00,15200.55
4710.00,14913.41
4720.00,14541.82
4730.00,13984.77
4740.00,13455.59
4750.00,12930.78
4760.00,12407.96
4770.00,11898.44
4780.00,11393.63
4790.00,10881.01
4800.00,10358.35
4810.00,9859.60
4820.00,9357.77
4830.00,8974.93
4840.00,8616.29
4850.00,8277.78
4860.00,7970.60
4870.00,7653.32
4880.00,7366.00
4890.00,7090.56
4900.00,6823.42
4910.00,6547.52
4920.00,5342.43
4930.00,5076.45
4940.00,4825.76
4950.00,4600.08
4960.00,6971.66
4970.00,7218.32
4980.00,5735.54
4990.00,5856.30
5000.00,7964.72
5010.00,8198.93
5020.00,8449.57
5030.00,8696.09
5040.00,8955.49
5050.00,9218.87
5060.00,9467.28
5070.00,9737.10
5080.00,5738.72
5090.00,6327.16
5100.00,6901.54
5110.00,5000.07
5120.00,5193.18
5130.00,5350.08
5140.00,5504.59
5150.00,5665.06
5160.00,5858.66
5170.00,6102.73
5180.00,6433.97
5190.00,6851.74
5200.00,7323.77
5210.00,7820.13
5220.00,8352.82
5230.00,8871.17
5240.00,8988.51
5250.00,8948.38
5260.00,8873.19
5270.00,13097.83
5280.00,12968.49
5290.00,8654.83
5300.00,8634.94
5310.00,8587.83
5320.00,8517.02
