plan_id,start_node_id,end_node_id,waypoint_index,waypoint_node_id,overfly_time_sim_s,segment_duration_s,cumulative_duration_s,planned_total_duration_s,start_time_sim_s,planned_completion_time_sim_s,waypoint_speed_mps,pathfinding_duration_s,total_processing_time_s,logged_at_unix_s
FP000002,L0_X0_Y2,L0_X6_Y4,0,L0_X0_Y2,55.0,0.0,0.0,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,1,L1_X0_Y2,56.2192,1.2192,9.2192,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,2,L2_X0_Y2,57.4384,1.2192,10.4384,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,3,L2_X1_Y2,73.43324,15.99484,26.43324,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,4,L2_X2_Y2,89.428089,15.994849,42.428089,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,5,L2_X3_Y2,105.422946,15.994857,58.422946,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,6,L2_X4_Y2,121.417812,15.994866,74.417812,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,7,L2_X5_Y2,137.412687,15.994875,90.412687,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,8,L2_X6_Y2,153.407571,15.994883,106.407571,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,9,L2_X6_Y3,169.428164,16.020593,122.428164,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,10,L2_X6_Y4,185.448753,16.020589,138.448753,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,11,L1_X6_Y4,186.667953,1.2192,139.667953,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,12,L0_X6_Y4,187.887153,1.2192,140.887153,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,13,L0_X6_Y4,247.887153,60.0,200.887153,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,14,L1_X6_Y4,270.106353,22.2192,223.106353,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,15,L2_X6_Y4,271.325553,1.2192,224.325553,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,16,L2_X6_Y3,287.346141,16.020589,240.346141,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,17,L2_X6_Y2,303.366735,16.020593,256.366735,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,18,L2_X5_Y2,319.361618,15.994883,272.361618,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,19,L2_X4_Y2,335.356493,15.994875,288.356493,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,20,L2_X3_Y2,351.351359,15.994866,304.351359,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,21,L2_X2_Y2,367.346216,15.994857,320.346216,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,22,L2_X1_Y2,383.341065,15.994849,336.341065,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,23,L2_X0_Y2,399.335905,15.99484,352.335905,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,24,L1_X0_Y2,400.555105,1.2192,353.555105,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000002,L0_X0_Y2,L0_X6_Y4,25,L0_X0_Y2,401.774305,1.2192,354.774305,354.774305,47.0,401.774305,25,0.052078,0.16795,1772649160.302014
FP000003,L0_X0_Y2,L0_X6_Y1,0,L0_X0_Y2,76.0,0.0,0.0,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,1,L1_X0_Y2,77.2192,1.2192,15.2192,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,2,L2_X0_Y2,78.4384,1.2192,16.4384,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,3,L2_X1_Y2,94.43324,15.99484,32.43324,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,4,L2_X2_Y2,110.428089,15.994849,48.428089,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,5,L2_X3_Y2,126.422946,15.994857,64.422946,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,6,L2_X4_Y2,142.417812,15.994866,80.417812,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,7,L2_X5_Y2,158.412687,15.994875,96.412687,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,8,L2_X6_Y2,174.407571,15.994883,112.407571,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,9,L2_X6_Y1,190.428169,16.020598,128.428169,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,10,L1_X6_Y1,191.647369,1.2192,129.647369,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,11,L0_X6_Y1,192.866569,1.2192,130.866569,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,12,L0_X6_Y1,252.866569,60.0,190.866569,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,13,L1_X6_Y1,275.085769,22.2192,213.085769,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
FP000003,L0_X0_Y2,L0_X6_Y1,14,L2_X6_Y1,276.304969,1.2192,214.304969,360.432337,62.0,422.432337,25,0.394519,0.085406,1772649160.729831
