Time,DroneID,X,Y,Z,Target position,Target Speed,Origin Lat,Origin Lon,Destination Lat,Destination Lon,Completed
40.00,FP000001,375.15,60.96,-22842.63,"(557.8576, 60.96, -23153.71)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
50.00,FP000001,476.44,60.96,-23015.09,"(557.8576, 60.96, -23153.71)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
50.00,FP000002,354.89,50.48,-22808.14,"(354.8897, 60.96, -22808.14)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
60.00,FP000001,577.73,60.96,-23187.54,"(760.8444, 60.96, -23499.27)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
60.00,FP000002,446.05,60.96,-22963.35,"(557.8576, 60.96, -23153.71)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
70.00,FP000001,679.03,60.96,-23359.99,"(760.8444, 60.96, -23499.27)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
70.00,FP000002,547.34,60.96,-23135.81,"(557.8576, 60.96, -23153.71)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
70.00,FP000003,395.41,60.96,-22877.12,"(557.8576, 60.96, -23153.71)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
80.00,FP000001,780.33,60.96,-23532.44,"(963.8502, 60.96, -23844.83)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
80.00,FP000002,648.64,60.96,-23308.25,"(760.8444, 60.96, -23499.27)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
80.00,FP000003,496.70,60.96,-23049.58,"(557.8576, 60.96, -23153.71)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
90.00,FP000001,881.63,60.96,-23704.88,"(963.8502, 60.96, -23844.83)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
90.00,FP000002,749.94,60.96,-23480.70,"(760.8444, 60.96, -23499.27)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
90.00,FP000003,597.99,60.96,-23222.03,"(760.8444, 60.96, -23499.27)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
100.00,FP000001,982.94,60.96,-23877.32,"(1166.875, 60.96, -24190.38)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
100.00,FP000002,851.24,60.96,-23653.14,"(963.8502, 60.96, -23844.83)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
100.00,FP000003,699.29,60.96,-23394.48,"(760.8444, 60.96, -23499.27)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
110.00,FP000001,1084.25,60.96,-24049.76,"(1166.875, 60.96, -24190.38)",20,354.889739990234,-22808.138671875,4177.802734375,-26145.0078125,false
110.00,FP000002,952.54,60.96,-23825.59,"(963.8502, 60.96, -23844.83)",20,354.889739990234,-22808.138671875,2266.109375,-24476.705078125,false
110.00,FP000003,800.59,60.96,-23566.92,"(963.8502, 60.96, -23844.83)",20,354.889739990234,-22808.138671875,1226.38879394531,-25083.833984375,false
