OAS_NUMBER,VERIFICATION_STATUS,COUNTRY,STATE,CITY,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATITUDE_DMS,LONGITUDE_DMS,OBSTACLE_TYPE,QUANTITY,AGL_HT,AMSL_HT,LIGHTING,HORIZONTAL_ACCURACY,VERTICAL_ACCURACY,MARK_INDICATOR,FAA_STUDY_NUMBER,ACTION,JULIAN_DATE
36-020752,O,US,NY,NEW YORK,40.523694,-74.214694,40 31 25.30N,074 12 52.90W,TOWER,1,58,88,N,5.0,D,N,2010AEA01654OE A,20,10134
36-000225,O,US,NY,BROOKLYN,40.573611,-73.884722,40 34 25.00N,073 53 05.00W,BRIDGE,1,226,226,R,5.0,D,M,C,20,14152
36-006174,U,US,NY,BROOKLYN,40.575,-73.999722,40 34 30.00N,073 59 59.00W,BLDG,1,194,203,U,,,U,A,19,76150
36-213501,O,US,NY,BROOKLYN,40.575964,-73.982628,40 34 33.47N,073 58 57.46W,BLDG,1,310,316,N,1.0,A,N,2021AEA05808OE C,20,23243
36-225709,O,US,NY,BROOKLYN,40.579322,-73.973956,40 34 45.56N,073 58 26.24W,BLDG,1,270,278,R,4.0,D,N,2022AEA11684OE A,20,24004
36-030036,O,US,NY,BROOKLYN,40.586403,-73.953442,40 35 11.05N,073 57 12.39W,BLDG,1,340,347,R,4.0,D,N,2015AEA00018OE A,20,16354
36-000251,O,US,NY,NEW YORK,40.591247,-74.198669,40 35 28.49N,074 11 55.21W,STACK,1,499,515,D,5.0,D,N,2008AEA02455OE C,20,9127
36-173275,O,US,NY,NEW YORK,40.591383,-73.807856,40 35 28.98N,073 48 28.28W,TOWER,1,145,150,N,2.0,C,N,2020AEA10805OE A,20,21102
36-222031,O,US,NY,BROOKLYN,40.595272,-73.950297,40 35 42.98N,073 57 01.07W,BLDG,1,261,275,N,4.0,D,N,2022AEA12752OE A,20,23320
36-150633,U,US,NY,BROOKLYN,40.604639,-73.899061,40 36 16.70N,073 53 56.62W,BRIDGE,1,72,72,N,4.0,D,N,2015AEA05775OE A,20,19092
36-000270,O,US,NY,BROOKLYN,40.608333,-74.038611,40 36 30.00N,074 02 19.00W,BRIDGE,1,693,693,R,3.0,C,N,C,20,14152
36-002040,U,US,NY,BROOKLYN,40.609167,-74.024444,40 36 33.00N,074 01 28.00W,BLDG,1,254,278,R,4.0,D,N,1999AEA02746OE C,20,14124
36-025859,O,US,NY,BROOKLYN,40.6117,-73.914181,40 36 42.12N,073 54 51.05W,TOWER,1,105,113,N,1.0,A,N,2012AEA04972OE A,20,12339
36-006175,O,US,NY,BROOKLYN,40.614611,-73.926833,40 36 52.60N,073 55 36.60W,BLDG-TWR,1,113,130,N,5.0,D,N,C,20,14037
36-022715,O,US,NY,NEW YORK,40.615589,-73.761158,40 36 56.12N,073 45 40.17W,T-L TWR,1,151,151,U,1.0,A,U,A,20,11035
36-022716,O,US,NY,NEW YORK,40.618061,-73.759628,40 37 05.02N,073 45 34.66W,T-L TWR,1,139,140,U,1.0,A,U,A,20,11035
36-226210,U,US,NY,BROOKLYN,40.618333,-74.021667,40 37 06.00N,074 01 18.00W,BLDG,1,104,183,N,4.0,D,N,2020AEA07276OE A,20,23305
36-022714,O,US,NY,NEW YORK,40.618472,-73.7517,40 37 06.50N,073 45 06.12W,T-L TWR,1,99,111,U,1.0,A,U,A,20,11035
36-197814,U,US,NY,BROOKLYN,40.620481,-73.964819,40 37 13.73N,073 57 53.35W,BLDG,1,207,241,R,1.0,A,N,2020AEA01406OE A,20,22271
36-022720,O,US,NY,NEW YORK,40.623753,-73.769956,40 37 25.51N,073 46 11.84W,BLDG,1,9,17,U,1.0,A,U,A,20,11035
36-022718,O,US,NY,NEW YORK,40.624308,-73.771219,40 37 27.51N,073 46 16.39W,NAVAID,1,7,17,U,1.0,A,U,A,20,11035
36-022719,O,US,NY,NEW YORK,40.625258,-73.784269,40 37 30.93N,073 47 03.37W,TOWER,1,34,42,U,1.0,A,U,A,20,11035
36-022713,O,US,NY,NEW YORK,40.625414,-73.768539,40 37 31.49N,073 46 06.74W,POLE,1,25,29,U,1.0,A,U,A,20,11035
36-022712,O,US,NY,NEW YORK,40.625481,-73.784017,40 37 31.73N,073 47 02.46W,POLE,1,22,29,U,1.0,A,U,A,20,11035
36-022711,O,US,NY,NEW YORK,40.626011,-73.768158,40 37 33.64N,073 46 05.37W,POLE,1,25,29,U,1.0,A,U,A,20,11035
36-022705,O,US,NY,NEW YORK,40.628361,-73.769731,40 37 42.10N,073 46 11.03W,TOWER,1,36,45,U,1.0,A,U,A,20,11035
36-022704,O,US,NY,NEW YORK,40.628839,-73.777939,40 37 43.82N,073 46 40.58W,NAVAID,1,21,28,U,1.0,A,U,A,20,11035
36-022708,O,US,NY,NEW YORK,40.629014,-73.771911,40 37 44.45N,073 46 18.88W,NAVAID,1,21,30,U,1.0,A,U,A,20,11035
36-022709,O,US,NY,NEW YORK,40.629028,-73.778636,40 37 44.50N,073 46 43.09W,NAVAID,1,9,17,U,1.0,A,U,A,20,11035
36-001355,O,US,NY,NEW YORK,40.630556,-73.741667,40 37 50.00N,073 44 30.00W,STACK,1,129,133,N,5.0,D,N,C,20,14152
36-022706,O,US,NY,NEW YORK,40.632883,-73.771389,40 37 58.38N,073 46 17.00W,NAVAID,1,39,48,U,1.0,A,U,A,20,11035
36-022707,O,US,NY,NEW YORK,40.633297,-73.785947,40 37 59.87N,073 47 09.41W,TOWER,1,43,51,U,1.0,A,U,A,20,11035
36-022702,O,US,NY,NEW YORK,40.633906,-73.774156,40 38 02.06N,073 46 26.96W,POLE,1,23,32,U,1.0,A,U,A,20,11035
36-022691,O,US,NY,NEW YORK,40.634742,-73.779783,40 38 05.07N,073 46 47.22W,TOWER,1,53,62,U,1.0,A,U,A,20,11035
36-022692,O,US,NY,NEW YORK,40.634939,-73.761167,40 38 05.78N,073 45 40.20W,POLE,1,20,34,U,1.0,A,U,A,20,11035
36-022689,O,US,NY,NEW YORK,40.635344,-73.758953,40 38 07.24N,073 45 32.23W,TOWER,1,41,56,U,1.0,A,U,A,20,11035
36-022703,O,US,NY,NEW YORK,40.638711,-73.766258,40 38 19.36N,073 45 58.53W,TOWER,1,61,70,U,1.0,A,U,A,20,11035
36-022694,O,US,NY,NEW YORK,40.639244,-73.770533,40 38 21.28N,073 46 13.92W,TOWER,1,32,41,U,1.0,A,U,A,20,11035
36-022693,O,US,NY,NEW YORK,40.639558,-73.766431,40 38 22.41N,073 45 59.15W,TOWER,1,108,118,U,1.0,A,U,A,20,11035
36-022690,O,US,NY,NEW YORK,40.640133,-73.7515,40 38 24.48N,073 45 05.40W,POLE,1,28,46,U,1.0,A,U,A,20,11035
36-022695,O,US,NY,NEW YORK,40.642142,-73.755403,40 38 31.71N,073 45 19.45W,POLE,1,20,33,U,1.0,A,U,A,20,11035
36-022685,O,US,NY,NEW YORK,40.64265,-73.755067,40 38 33.54N,073 45 18.24W,NAVAID,1,23,35,U,1.0,A,U,A,20,11035
36-022687,O,US,NY,NEW YORK,40.642767,-73.755011,40 38 33.96N,073 45 18.04W,POLE,1,22,33,U,1.0,A,U,A,20,11035
